WorkID;AdaptedWork;Alternative Title;Author;Director;ProducingCompany;Country;City;Year;Date;Involved exiles;URL;;;;;;;;;;;
1;El Gran Teatro Del Mundo;;Pedro Calderón De La Barca;Camille Prior;Cambridge University Spanish Society;UK;Cambridge;1936;21/11/36;Natalia Jiménez Cossío (actress);;;;;;;;;;;;
2;Numancia ;;Miguel De Cervantes;Jean-Louis Barrault;;France;Paris;1937;;Rafael Alberti (adapter), Max Aub (consultant);;;;;;;;;;;;
3;La Dama Boba;;Lope De Vega;;Margarita Xirgu;Uruguay;Montevideo;1937;;Margarita Xirgu (actress), Amelia de la Torre (actress), Alejandro Maximino (actor), Enrique Diosdado (actor),  Alberto Contreras (actor) ;;;;;;;;;;;;
4;Fuente Ovejuna;;Lope De Vega;;Margarita Xirgu;Argentina;Buenos Aires;1938;1/4/38;Cipriano de Rivas Cherif (adapter), Margarita Xirgu (actress), Amelia de la Torre (actress), Alejandro Maximino (actor), Enrique Diosdado (actor),  Alberto Contreras (actor) ;;;;;;;;;;;;
5;Fuente Ovejuna;;Lope De Vega;Henri Lesieur ;Compan_ía del Teatro del Pueblo r;France;Paris;1938;31/1/38;Max Aub (consultant);;;;;;;;;;;;
6;El Gran Teatro Del Mundo;;Pedro Calderón De La Barca;;Margarita Xirgu;;;1938;;;https://www.jstor.org/stable/23237376?seq=5;;;;;;;;;;;
7;La Prudencia En La Mujer;;Tirso De Molina;;Margarita Xirgu;;;1938;;;https://www.jstor.org/stable/23237376?seq=5;;;;;;;;;;;
8;Quijote;Sancho Panza en la ínsula Barataria;;Alejandro Casona;Alejandro Casona;Cuba;;1939;10/6/39;Alejandro Casona (director);;;;;;;;;;;;
9;El Juez De Los Divorcios;;Miguel De Cervantes;;Circulo Hispano;US;New York;1939;5/4/39;https://digitalcollections.barnard.edu/do/ccb1a38b-59a7-438a-84ea-534e45769c7f#mode/2up/search/cervantes;;;;;;;;;;;;
10;Fuente Ovejuna;;Lope De Vega;Camille Prior;Cambridge University Spanish Society;UK;Cambridge;1939;18/11/1939;Robert Gerhard (music), Enrique Moreno (actor), Manuel Jimenez (actor);;;;;;;;;;;;
11;El Alcalde De Zalamea;;Pedro Calderón De La Barca;;Margarita Xirgu;Uruguay;;1939;1/6/39;;;;;;;;;;;;;
12;El Gran Teatro Del Mundo;;Pedro Calderón De La Barca;;Spanish Club (Barnard);US;New York;1940;16/12/40;;https://digitalcollections.barnard.edu/do/f0db33f1-0556-4b6d-b044-aa4f5ceead4f#page/2/mode/2up/search/calderon;;;;;;;;;;;
13;El Caballero De Olmedo;;Lope De Vega;;Grupo Dramático Del Instituto Hispánico;US;New York;1940;27/4/40;;https://www.jstor.org/stable/30201241?seq=2;;;;;;;;;;;
14;El Juez De Los Divorcios;;Miguel De Cervantes;;Grupo Dramático Del Instituto Hispánico;US;New York;1940;27/4/40;;https://www.jstor.org/stable/30201241?seq=2;;;;;;;;;;;
15;La Dama Boba;;Lope De Vega;Vicente Llorens;Teatro Universitario de la Universidad de Santo Domingo;República Dominicana;Santo Domingo;1940;14/4/40;Vicente Llorens (director), Gloria Alvarez Santullano (actress), Enrique Casal Chapí (music), Jose Vela Zanetti (stage design);;;;;;;;;;;;
16;La Guarda Cuidadosa;;Miguel De Cervantes;Pedro De La Barra;Teatro Experimental de la Universidad de Chile;Chile;Santiago de Chile;1941;22/6/41;Jose Ricardo Morales (founding member of the theatre company);;;;;;;;;;;;
17;;;Lope De Vega;;Spanish faculties of Barnard and Columbia;US;New York;1941;26/4/1941;;https://digitalcollections.barnard.edu/do/368ce343-917a-466f-a464-e2975ce6b54e#page/2/mode/2up/search/lope;;;;;;;;;;;
18;;;Miguel De Cervantes;;Spanish faculties of Barnard and Columbia;US;New York;1941;26/4/1941;;https://digitalcollections.barnard.edu/do/368ce343-917a-466f-a464-e2975ce6b54e#page/2/mode/2up/search/lope;;;;;;;;;;;
19;El Burlador De Sevilla;;Tirso De Molina;;Grupo Dramático del Instituto Hispánico;US;New York;1941;26/4/41;;https://www.jstor.org/stable/30205263?seq=2;;;;;;;;;;;
20;El Robo De Dina;;Lope De Vega;;Grupo Dramático del Instituto Hispánico;US;US;1941;26/4/41;;https://www.jstor.org/stable/30205263?seq=2;;;;;;;;;;;
21;La Dama Boba;;Lope De Vega;;Grupo Dramático del Instituto Hispánico;US;New York;1941;26/4/41;;https://www.jstor.org/stable/30205263?seq=2;;;;;;;;;;;
22;El Retablo De Las Maravillas;;Miguel De Cervantes;;Grupo Dramático del Instituto Hispánico;US;New York;1941;26/4/41;;https://www.jstor.org/stable/30205263?seq=2;;;;;;;;;;;
23;El Doctor Simple;;Lope De Vega;Jose Estruch;Spanish Theatre Group;UK;London;1941;13/12/1941;Jose Estruch (director);;;;;;;;;;;;
24;Los Habladores;;Miguel De Cervantes;Jose Estruch;Jovenes vascos;UK;;1941;;Jose Estruch (director);;;;;;;;;;;;
25;Don Gil De Las Calzas Verdes;;Don Gil De Las Calzas Verdes;Camille Prior;Cambridge University Spanish Society;UK;Cambridge;1941;8/2/41;Robert Gerhard (music);;;;;;;;;;;;
26;Fuente Ovejuna;;Lope De Vega;;Casa de las Espanas;US;New York;1942;6/4/42;;https://digitalcollections.barnard.edu/do/0904e8e5-8070-41ca-a224-442268a8ba42#page/2/mode/2up/search/lope;;;;;;;;;;;
27;El Paso De las Aceitunas;;Lope De Rueda;Jose Estruch;Jovenes vascos;UK;;1942;;Jose Estruch (director);;;;;;;;;;;;
28;La Dama Boba;;Lope De Vega;Rosa de Moreno;Cambridge University Spanish Society;UK;Cambridge;1942;31/1/42;Rosa de Moreno (director), Robert Gerhard (music), Esteban Salazar Chapela (actor);;;;;;;;;;;;
29;Las Paredes Oyen;;Juan Ruiz De Alarcon;Rosa de Moreno;Cambridge University Spanish Society;UK;Cambridge;1942;21/11/42;Rosa de Moreno (director), Robert Gerhard (music);;;;;;;;;;;;
30;El Caballero De Olmedo;;Lope De Vega;Pedro De La Barra;Pedro De La Barra;Chile;;1942;;Jose Ricardo Morales (founding member of the theatre company), Roser Bru ( costume designer), Vicente Salas Viu (music);;;;;;;;;;;;
31;Auto Del Ave Maria;;Lope De Vega;Margarita Xirgu;Escuela De Arte Dramático;Chile;Santiago De Chile;1942;10/12/42;Margarita Xirgu (director);;;;;;;;;;;;
32;Los Pastores De Belen;;Lope De Vega;Margarita Xirgu;Escuela De Arte Dramático;Chile;Santiago De Chile;1942;10/12/42;Margarita Xirgu (director);;;;;;;;;;;;
